Hieronymus' notes|th1009_journal_wolf_part3a
Well-preserved notes by Hieronymus on the witcher Elgar|th1009_map_wolf_upgrade1a
Massive key|mq7011_vault_key
Rusty key|mq6002_house_key
Magic lamp|q106_magic_oillamp
Fruit bowl|q604_fruit_bowl
Chronicles of Clan Tuirseach|th1007_journal_bear_part7
The Eye of Nehaleni|Illusion Medallion
Pirate's notes|lw_sb2_sunken_ships_note
Mask of Uroboros|q203_eyeofloki
Phylactery|ciris_phylactery
Magic Amulet|q403_ciri_meteor
Letter|lw_cp39_captains_log
Chort lure|mh107_czart_lure
Reinald's Philter|Signs Enhancement
Letter|lw_de32_treasure_note
Arnvald's key|q206_arnvalds_key
Guest's mask|Frog mask
Silver monocle|mq0004_thalers_monocle_wearable
Key to Arnvald's chest|q206_arnvalds_chest_key
"Vis la Crac" Wine|poi_gor_a_10_vine_edible
Summons to payment|mq6003_tax_bill
Skellige spirit|sq205_moonshine_spirit
Feather from Vivienne|sq701_item_wearable_feather
"Vis la Crac" Wine|poi_gor_a_10_vine
Glass|q604_chalice
Beauclair shoes|Beauclair casual shoes 01
Shaelmaar bait|mh701_usable_lure
Key to grate in sewers|q301_crematory_key
Beauclair trousers|Beauclair Casual Pants 01
Letter with orders|th1010_armor_note
Drawing of an oven|q301_drawing_oven
Kuliu|mq2001_kuilu
Armor diagram - untranslated|th1010_schematic_armor
Menge's key|q303_menges_skeleton_key
Top|q103_spinning_top
Rusty key|mq6004_lab_key
Key to Dijkstra's treasury|q303_vault_key
Key to the halflings' secret passage|q305_key_midgets_house
Orders to attack Bowdon|mq6004_broken_rose_orders
Stocktaking Report|poi_ww_belgard_secret_plot_proper_note
Key to Corvo Bianco|mq7024_vineyard_key
Unusual severed hand|dettlaff_arm
Lockbox key|q503_lockbox_key
